Quarter,Type,الربع السنوي,Description,الوصف,Year,Value,Title,العنوان,Quarter_Number,النوع,sort_id
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2022,7996049588,Mortgages,الرهون,4,مبنى,275
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2022,129,Mortgages,الرهون,4,مبنى,276
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2022,97156068684,Mortgages,الرهون,4,أرض,277
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2022,1193,Mortgages,الرهون,4,أرض,278
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2022,4285964907,Mortgages,الرهون,4,فيلا,279
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2022,1497,Mortgages,الرهون,4,فيلا,280
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2022,1553944746,Other,أخرى,4,وحده,281
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2022,974,Other,أخرى,4,وحده,282
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2022,5791736960,Other,أخرى,4,مبنى,283
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2022,84,Other,أخرى,4,مبنى,284
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2022,3162823587,Other,أخرى,4,أرض,285
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2022,120,Other,أخرى,4,أرض,286
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2022,982722476,Other,أخرى,4,فيلا,287
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2022,163,Other,أخرى,4,فيلا,288
First Quarter,Units,First Quarter,Value,قيمة,2021,10980208082,Sales,المبايعات,1,وحده,289
First Quarter,Units,First Quarter,Number,عدد,2021,8187,Sales,المبايعات,1,وحده,290
First Quarter,Building,First Quarter,Value,قيمة,2021,976640295,Sales,المبايعات,1,مبنى,291
First Quarter,Building,First Quarter,Number,عدد,2021,72,Sales,المبايعات,1,مبنى,292
First Quarter,Land,First Quarter,Value,قيمة,2021,6003629986,Sales,المبايعات,1,أرض,293
First Quarter,Land,First Quarter,Number,عدد,2021,1197,Sales,المبايعات,1,أرض,294
First Quarter,Villa,First Quarter,Value,قيمة,2021,7190532425,Sales,المبايعات,1,فيلا,295
First Quarter,Villa,First Quarter,Number,عدد,2021,2297,Sales,المبايعات,1,فيلا,296
First Quarter,Units,First Quarter,Value,قيمة,2021,3275431354,Mortgages,الرهون,1,وحده,297
First Quarter,Units,First Quarter,Number,عدد,2021,2832,Mortgages,الرهون,1,وحده,298
First Quarter,Building,First Quarter,Value,قيمة,2021,12567881837,Mortgages,الرهون,1,مبنى,299
First Quarter,Building,First Quarter,Number,عدد,2021,133,Mortgages,الرهون,1,مبنى,300
First Quarter,Land,First Quarter,Value,قيمة,2021,18330377812,Mortgages,الرهون,1,أرض,301
First Quarter,Land,First Quarter,Number,عدد,2021,1106,Mortgages,الرهون,1,أرض,302
First Quarter,Villa,First Quarter,Value,قيمة,2021,5326044118,Mortgages,الرهون,1,فيلا,303
First Quarter,Villa,First Quarter,Number,عدد,2021,2019,Mortgages,الرهون,1,فيلا,304
First Quarter,Units,First Quarter,Value,قيمة,2021,705141489,Other,أخرى,1,وحده,305
First Quarter,Units,First Quarter,Number,عدد,2021,475,Other,أخرى,1,وحده,306
First Quarter,Building,First Quarter,Value,قيمة,2021,2442739804,Other,أخرى,1,مبنى,307
First Quarter,Building,First Quarter,Number,عدد,2021,64,Other,أخرى,1,مبنى,308
First Quarter,Land,First Quarter,Value,قيمة,2021,730202589,Other,أخرى,1,أرض,309
First Quarter,Land,First Quarter,Number,عدد,2021,87,Other,أخرى,1,أرض,310
First Quarter,Villa,First Quarter,Value,قيمة,2021,942650550,Other,أخرى,1,فيلا,311
First Quarter,Villa,First Quarter,Number,عدد,2021,214,Other,أخرى,1,فيلا,312
Second Quarter,Units,Second Quarter,Value,قيمة,2021,15791954553,Sales,المبايعات,2,وحده,313
Second Quarter,Units,Second Quarter,Number,عدد,2021,10759,Sales,المبايعات,2,وحده,314
Second Quarter,Building,Second Quarter,Value,قيمة,2021,1107679776,Sales,المبايعات,2,مبنى,315
Second Quarter,Building,Second Quarter,Number,عدد,2021,66,Sales,المبايعات,2,مبنى,316
Second Quarter,Land,Second Quarter,Value,قيمة,2021,9262798949,Sales,المبايعات,2,أرض,317
Second Quarter,Land,Second Quarter,Number,عدد,2021,1567,Sales,المبايعات,2,أرض,318
Second Quarter,Villa,Second Quarter,Value,قيمة,2021,10601288624,Sales,المبايعات,2,فيلا,319
Second Quarter,Villa,Second Quarter,Number,عدد,2021,3188,Sales,المبايعات,2,فيلا,320
Second Quarter,Units,Second Quarter,Value,قيمة,2021,2191929121,Mortgages,الرهون,2,وحده,321
Second Quarter,Units,Second Quarter,Number,عدد,2021,2018,Mortgages,الرهون,2,وحده,322
Second Quarter,Building,Second Quarter,Value,قيمة,2021,8331896931,Mortgages,الرهون,2,مبنى,323
Second Quarter,Building,Second Quarter,Number,عدد,2021,114,Mortgages,الرهون,2,مبنى,324
Second Quarter,Land,Second Quarter,Value,قيمة,2021,15858014865,Mortgages,الرهون,2,أرض,325
Second Quarter,Land,Second Quarter,Number,عدد,2021,907,Mortgages,الرهون,2,أرض,326
Second Quarter,Villa,Second Quarter,Value,قيمة,2021,4411371370,Mortgages,الرهون,2,فيلا,327
Second Quarter,Villa,Second Quarter,Number,عدد,2021,1704,Mortgages,الرهون,2,فيلا,328
Second Quarter,Units,Second Quarter,Value,قيمة,2021,795379017,Other,أخرى,2,وحده,329
Second Quarter,Units,Second Quarter,Number,عدد,2021,594,Other,أخرى,2,وحده,330
Second Quarter,Building,Second Quarter,Value,قيمة,2021,4044166916,Other,أخرى,2,مبنى,331
Second Quarter,Building,Second Quarter,Number,عدد,2021,33,Other,أخرى,2,مبنى,332
Second Quarter,Land,Second Quarter,Value,قيمة,2021,1230177307,Other,أخرى,2,أرض,333
Second Quarter,Land,Second Quarter,Number,عدد,2021,82,Other,أخرى,2,أرض,334
Second Quarter,Villa,Second Quarter,Value,قيمة,2021,848541310,Other,أخرى,2,فيلا,335
Second Quarter,Villa,Second Quarter,Number,عدد,2021,186,Other,أخرى,2,فيلا,336
Third Quarter,Units,Third Quarter,Value,قيمة,2021,18665772927,Sales,المبايعات,3,وحده,337
Third Quarter,Units,Third Quarter,Number,عدد,2021,10785,Sales,المبايعات,3,وحده,338
Third Quarter,Building,Third Quarter,Value,قيمة,2021,1086225536,Sales,المبايعات,3,مبنى,339
Third Quarter,Building,Third Quarter,Number,عدد,2021,68,Sales,المبايعات,3,مبنى,340
Third Quarter,Land,Third Quarter,Value,قيمة,2021,11883838680,Sales,المبايعات,3,أرض,341
Third Quarter,Land,Third Quarter,Number,عدد,2021,1623,Sales,المبايعات,3,أرض,342
Third Quarter,Villa,Third Quarter,Value,قيمة,2021,10702556801,Sales,المبايعات,3,فيلا,343
Third Quarter,Villa,Third Quarter,Number,عدد,2021,3432,Sales,المبايعات,3,فيلا,344
Third Quarter,Units,Third Quarter,Value,قيمة,2021,2134813717,Mortgages,الرهون,3,وحده,345
Third Quarter,Units,Third Quarter,Number,عدد,2021,1966,Mortgages,الرهون,3,وحده,346
Third Quarter,Building,Third Quarter,Value,قيمة,2021,12374052731,Mortgages,الرهون,3,مبنى,347
Third Quarter,Building,Third Quarter,Number,عدد,2021,136,Mortgages,الرهون,3,مبنى,348
Third Quarter,Land,Third Quarter,Value,قيمة,2021,9223303343,Mortgages,الرهون,3,أرض,349
Third Quarter,Land,Third Quarter,Number,عدد,2021,774,Mortgages,الرهون,3,أرض,350
Third Quarter,Villa,Third Quarter,Value,قيمة,2021,5095653263,Mortgages,الرهون,3,فيلا,351
Third Quarter,Villa,Third Quarter,Number,عدد,2021,1615,Mortgages,الرهون,3,فيلا,352
Third Quarter,Units,Third Quarter,Value,قيمة,2021,1663702405,Other,أخرى,3,وحده,353
Third Quarter,Units,Third Quarter,Number,عدد,2021,574,Other,أخرى,3,وحده,354
Third Quarter,Building,Third Quarter,Value,قيمة,2021,864561682,Other,أخرى,3,مبنى,355
Third Quarter,Building,Third Quarter,Number,عدد,2021,25,Other,أخرى,3,مبنى,356
Third Quarter,Land,Third Quarter,Value,قيمة,2021,1444040231,Other,أخرى,3,أرض,357
Third Quarter,Land,Third Quarter,Number,عدد,2021,65,Other,أخرى,3,أرض,358
Third Quarter,Villa,Third Quarter,Value,قيمة,2021,1617818767,Other,أخرى,3,فيلا,359
Third Quarter,Villa,Third Quarter,Number,عدد,2021,164,Other,أخرى,3,فيلا,360
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2021,23209636548,Sales,المبايعات,4,وحده,361
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2021,12331,Sales,المبايعات,4,وحده,362
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2021,760030384,Sales,المبايعات,4,مبنى,363
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2021,64,Sales,المبايعات,4,مبنى,364
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2021,12411057333,Sales,المبايعات,4,أرض,365
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2021,2044,Sales,المبايعات,4,أرض,366
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2021,10340082093,Sales,المبايعات,4,فيلا,367
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2021,3489,Sales,المبايعات,4,فيلا,368
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2021,3701016975,Mortgages,الرهون,4,وحده,369
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2021,2154,Mortgages,الرهون,4,وحده,370
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2021,12365616353,Mortgages,الرهون,4,مبنى,371
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2021,220,Mortgages,الرهون,4,مبنى,372
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2021,9428631047,Mortgages,الرهون,4,أرض,373
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2021,843,Mortgages,الرهون,4,أرض,374
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2021,3623060021,Mortgages,الرهون,4,فيلا,375
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2021,1540,Mortgages,الرهون,4,فيلا,376
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2021,1078863195,Other,أخرى,4,وحده,377
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2021,845,Other,أخرى,4,وحده,378
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2021,528939430,Other,أخرى,4,مبنى,379
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2021,36,Other,أخرى,4,مبنى,380
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2021,1021600754,Other,أخرى,4,أرض,381
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2021,57,Other,أخرى,4,أرض,382
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2021,661371560,Other,أخرى,4,فيلا,383
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2021,170,Other,أخرى,4,فيلا,384
First Quarter,Units,First Quarter,Value,قيمة,2020,10105036194,Sales,المبايعات,1,وحده,385
First Quarter,Units,First Quarter,Number,عدد,2020,7877,Sales,المبايعات,1,وحده,386
First Quarter,Building,First Quarter,Value,قيمة,2020,2103938867,Sales,المبايعات,1,مبنى,387
First Quarter,Building,First Quarter,Number,عدد,2020,1180,Sales,المبايعات,1,مبنى,388
First Quarter,Land,First Quarter,Value,قيمة,2020,9156873548,Sales,المبايعات,1,أرض,389
First Quarter,Land,First Quarter,Number,عدد,2020,1064,Sales,المبايعات,1,أرض,390
First Quarter,Units,First Quarter,Value,قيمة,2020,1994841166,Mortgages,الرهون,1,وحده,391
First Quarter,Units,First Quarter,Number,عدد,2020,1699,Mortgages,الرهون,1,وحده,392
First Quarter,Building,First Quarter,Value,قيمة,2020,710217251,Mortgages,الرهون,1,مبنى,393
First Quarter,Building,First Quarter,Number,عدد,2020,507,Mortgages,الرهون,1,مبنى,394
First Quarter,Land,First Quarter,Value,قيمة,2020,19239565259,Mortgages,الرهون,1,أرض,395
First Quarter,Land,First Quarter,Number,عدد,2020,1365,Mortgages,الرهون,1,أرض,396
First Quarter,Units,First Quarter,Value,قيمة,2020,821450043,Other,أخرى,1,وحده,397
First Quarter,Units,First Quarter,Number,عدد,2020,721,Other,أخرى,1,وحده,398
First Quarter,Building,First Quarter,Value,قيمة,2020,53083288,Other,أخرى,1,مبنى,399
First Quarter,Building,First Quarter,Number,عدد,2020,34,Other,أخرى,1,مبنى,400
First Quarter,Land,First Quarter,Value,قيمة,2020,3366872533,Other,أخرى,1,أرض,401
First Quarter,Land,First Quarter,Number,عدد,2020,242,Other,أخرى,1,أرض,402
Second Quarter,Units,Second Quarter,Value,قيمة,2020,5707902301,Sales,المبايعات,2,وحده,403
Second Quarter,Units,Second Quarter,Number,عدد,2020,4311,Sales,المبايعات,2,وحده,404
Second Quarter,Building,Second Quarter,Value,قيمة,2020,1082282139,Sales,المبايعات,2,مبنى,405
Second Quarter,Building,Second Quarter,Number,عدد,2020,570,Sales,المبايعات,2,مبنى,406
Second Quarter,Land,Second Quarter,Value,قيمة,2020,4175985216,Sales,المبايعات,2,أرض,407
Second Quarter,Land,Second Quarter,Number,عدد,2020,674,Sales,المبايعات,2,أرض,408
Second Quarter,Units,Second Quarter,Value,قيمة,2020,905584551,Mortgages,الرهون,2,وحده,409
Second Quarter,Units,Second Quarter,Number,عدد,2020,719,Mortgages,الرهون,2,وحده,410
Second Quarter,Building,Second Quarter,Value,قيمة,2020,358779716,Mortgages,الرهون,2,مبنى,411
Second Quarter,Building,Second Quarter,Number,عدد,2020,286,Mortgages,الرهون,2,مبنى,412
Second Quarter,Land,Second Quarter,Value,قيمة,2020,8730833232,Mortgages,الرهون,2,أرض,413
Second Quarter,Land,Second Quarter,Number,عدد,2020,858,Mortgages,الرهون,2,أرض,414
Second Quarter,Units,Second Quarter,Value,قيمة,2020,370332414,Other,أخرى,2,وحده,415
Second Quarter,Units,Second Quarter,Number,عدد,2020,230,Other,أخرى,2,وحده,416
Second Quarter,Building,Second Quarter,Value,قيمة,2020,31683141,Other,أخرى,2,مبنى,417
Second Quarter,Building,Second Quarter,Number,عدد,2020,20,Other,أخرى,2,مبنى,418
Second Quarter,Land,Second Quarter,Value,قيمة,2020,2928183878,Other,أخرى,2,أرض,419
Second Quarter,Land,Second Quarter,Number,عدد,2020,110,Other,أخرى,2,أرض,420
Third Quarter,Units,Third Quarter,Value,قيمة,2020,6945938394,Sales,المبايعات,3,وحده,421
Third Quarter,Units,Third Quarter,Number,عدد,2020,5878,Sales,المبايعات,3,وحده,422
Third Quarter,Building,Third Quarter,Value,قيمة,2020,2200344097,Sales,المبايعات,3,مبنى,423
Third Quarter,Building,Third Quarter,Number,عدد,2020,1262,Sales,المبايعات,3,مبنى,424
Third Quarter,Land,Third Quarter,Value,قيمة,2020,8927852591,Sales,المبايعات,3,أرض,425
Third Quarter,Land,Third Quarter,Number,عدد,2020,1495,Sales,المبايعات,3,أرض,426
Third Quarter,Units,Third Quarter,Value,قيمة,2020,1603218183,Mortgages,الرهون,3,وحده,427
Third Quarter,Units,Third Quarter,Number,عدد,2020,1409,Mortgages,الرهون,3,وحده,428
Third Quarter,Building,Third Quarter,Value,قيمة,2020,639635343,Mortgages,الرهون,3,مبنى,429
Third Quarter,Building,Third Quarter,Number,عدد,2020,492,Mortgages,الرهون,3,مبنى,430
Third Quarter,Land,Third Quarter,Value,قيمة,2020,34614344860,Mortgages,الرهون,3,أرض,431
Third Quarter,Land,Third Quarter,Number,عدد,2020,1799,Mortgages,الرهون,3,أرض,432
Third Quarter,Units,Third Quarter,Value,قيمة,2020,693088894,Other,أخرى,3,وحده,433
Third Quarter,Units,Third Quarter,Number,عدد,2020,526,Other,أخرى,3,وحده,434
Third Quarter,Building,Third Quarter,Value,قيمة,2020,83869719,Other,أخرى,3,مبنى,435
Third Quarter,Building,Third Quarter,Number,عدد,2020,55,Other,أخرى,3,مبنى,436
Third Quarter,Land,Third Quarter,Value,قيمة,2020,3985758410,Other,أخرى,3,أرض,437
Third Quarter,Land,Third Quarter,Number,عدد,2020,317,Other,أخرى,3,أرض,438
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2020,9480383598,Sales,المبايعات,4,وحده,439
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2020,7760,Sales,المبايعات,4,وحده,440
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2020,2708956943,Sales,المبايعات,4,مبنى,441
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2020,1451,Sales,المبايعات,4,مبنى,442
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2020,9661584496,Sales,المبايعات,4,أرض,443
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2020,1793,Sales,المبايعات,4,أرض,444
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2020,1448585094,Mortgages,الرهون,4,وحده,445
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2020,1505,Mortgages,الرهون,4,وحده,446
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2020,759147160,Mortgages,الرهون,4,مبنى,447
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2020,569,Mortgages,الرهون,4,مبنى,448
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2020,16545931156,Mortgages,الرهون,4,أرض,449
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2020,1729,Mortgages,الرهون,4,أرض,450
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2020,731717857,Other,أخرى,4,وحده,451
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2020,507,Other,أخرى,4,وحده,452
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2020,74549484,Other,أخرى,4,مبنى,453
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2020,43,Other,أخرى,4,مبنى,454
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2020,1815274328,Other,أخرى,4,أرض,455
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2020,225,Other,أخرى,4,أرض,456
First Quarter,Units,First Quarter,Value,قيمة,2019,9330741855,Sales,المبايعات,1,وحده,457
First Quarter,Units,First Quarter,Number,عدد,2019,6952,Sales,المبايعات,1,وحده,458
First Quarter,Building,First Quarter,Value,قيمة,2019,1913129337,Sales,المبايعات,1,مبنى,459
First Quarter,Building,First Quarter,Number,عدد,2019,1029,Sales,المبايعات,1,مبنى,460
First Quarter,Land,First Quarter,Value,قيمة,2019,9242728326,Sales,المبايعات,1,أرض,461
First Quarter,Land,First Quarter,Number,عدد,2019,992,Sales,المبايعات,1,أرض,462
First Quarter,Units,First Quarter,Value,قيمة,2019,2147199955,Mortgages,الرهون,1,وحده,463
First Quarter,Units,First Quarter,Number,عدد,2019,1444,Mortgages,الرهون,1,وحده,464
First Quarter,Building,First Quarter,Value,قيمة,2019,979965424,Mortgages,الرهون,1,مبنى,465
First Quarter,Building,First Quarter,Number,عدد,2019,251,Mortgages,الرهون,1,مبنى,466
First Quarter,Land,First Quarter,Value,قيمة,2019,28352474358,Mortgages,الرهون,1,أرض,467
First Quarter,Land,First Quarter,Number,عدد,2019,1213,Mortgages,الرهون,1,أرض,468
First Quarter,Units,First Quarter,Value,قيمة,2019,827271559,Other,أخرى,1,وحده,469
First Quarter,Units,First Quarter,Number,عدد,2019,677,Other,أخرى,1,وحده,470
First Quarter,Building,First Quarter,Value,قيمة,2019,89932102,Other,أخرى,1,مبنى,471
First Quarter,Building,First Quarter,Number,عدد,2019,43,Other,أخرى,1,مبنى,472
First Quarter,Land,First Quarter,Value,قيمة,2019,3557313516,Other,أخرى,1,أرض,473
First Quarter,Land,First Quarter,Number,عدد,2019,225,Other,أخرى,1,أرض,474
Second Quarter,Units,Second Quarter,Value,قيمة,2019,11009854592,Sales,المبايعات,2,وحده,475
Second Quarter,Units,Second Quarter,Number,عدد,2019,7045,Sales,المبايعات,2,وحده,476
Second Quarter,Building,Second Quarter,Value,قيمة,2019,1473111271,Sales,المبايعات,2,مبنى,477
Second Quarter,Building,Second Quarter,Number,عدد,2019,912,Sales,المبايعات,2,مبنى,478
Second Quarter,Land,Second Quarter,Value,قيمة,2019,6196921890,Sales,المبايعات,2,أرض,479
Second Quarter,Land,Second Quarter,Number,عدد,2019,1098,Sales,المبايعات,2,أرض,480
Second Quarter,Units,Second Quarter,Value,قيمة,2019,1555601561,Mortgages,الرهون,2,وحده,481
Second Quarter,Units,Second Quarter,Number,عدد,2019,1458,Mortgages,الرهون,2,وحده,482
Second Quarter,Building,Second Quarter,Value,قيمة,2019,346154904,Mortgages,الرهون,2,مبنى,483
Second Quarter,Building,Second Quarter,Number,عدد,2019,253,Mortgages,الرهون,2,مبنى,484
Second Quarter,Land,Second Quarter,Value,قيمة,2019,33219291938,Mortgages,الرهون,2,أرض,485
Second Quarter,Land,Second Quarter,Number,عدد,2019,978,Mortgages,الرهون,2,أرض,486
Second Quarter,Units,Second Quarter,Value,قيمة,2019,1358108994,Other,أخرى,2,وحده,487
Second Quarter,Units,Second Quarter,Number,عدد,2019,896,Other,أخرى,2,وحده,488
Second Quarter,Building,Second Quarter,Value,قيمة,2019,320450045,Other,أخرى,2,مبنى,489
Second Quarter,Building,Second Quarter,Number,عدد,2019,32,Other,أخرى,2,مبنى,490
Second Quarter,Land,Second Quarter,Value,قيمة,2019,5218976089,Other,أخرى,2,أرض,491
Second Quarter,Land,Second Quarter,Number,عدد,2019,263,Other,أخرى,2,أرض,492
Third Quarter,Units,Third Quarter,Value,قيمة,2019,9301229181,Sales,المبايعات,3,وحده,493
Third Quarter,Units,Third Quarter,Number,عدد,2019,7294,Sales,المبايعات,3,وحده,494
Third Quarter,Building,Third Quarter,Value,قيمة,2019,2468723323,Sales,المبايعات,3,مبنى,495
Third Quarter,Building,Third Quarter,Number,عدد,2019,1506,Sales,المبايعات,3,مبنى,496
Third Quarter,Land,Third Quarter,Value,قيمة,2019,6127018941,Sales,المبايعات,3,أرض,497
Third Quarter,Land,Third Quarter,Number,عدد,2019,1066,Sales,المبايعات,3,أرض,498
Third Quarter,Units,Third Quarter,Value,قيمة,2019,3555379536,Mortgages,الرهون,3,وحده,499
Third Quarter,Units,Third Quarter,Number,عدد,2019,2008,Mortgages,الرهون,3,وحده,500
Third Quarter,Building,Third Quarter,Value,قيمة,2019,410234480,Mortgages,الرهون,3,مبنى,501
Third Quarter,Building,Third Quarter,Number,عدد,2019,286,Mortgages,الرهون,3,مبنى,502
Third Quarter,Land,Third Quarter,Value,قيمة,2019,16861049086,Mortgages,الرهون,3,أرض,503
Third Quarter,Land,Third Quarter,Number,عدد,2019,1127,Mortgages,الرهون,3,أرض,504
Third Quarter,Units,Third Quarter,Value,قيمة,2019,749682248,Other,أخرى,3,وحده,505
Third Quarter,Units,Third Quarter,Number,عدد,2019,628,Other,أخرى,3,وحده,506
Third Quarter,Building,Third Quarter,Value,قيمة,2019,76151523,Other,أخرى,3,مبنى,507
Third Quarter,Building,Third Quarter,Number,عدد,2019,30,Other,أخرى,3,مبنى,508
Third Quarter,Land,Third Quarter,Value,قيمة,2019,3107306831,Other,أخرى,3,أرض,509
Third Quarter,Land,Third Quarter,Number,عدد,2019,165,Other,أخرى,3,أرض,510
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2019,12405693289,Sales,المبايعات,4,وحده,511
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2019,9031,Sales,المبايعات,4,وحده,512
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2019,4120630994,Sales,المبايعات,4,مبنى,513
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2019,2190,Sales,المبايعات,4,مبنى,514
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2019,7440264834,Sales,المبايعات,4,أرض,515
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2019,1150,Sales,المبايعات,4,أرض,516
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2019,10075909185,Mortgages,الرهون,4,وحده,517
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2019,1795,Mortgages,الرهون,4,وحده,518
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2019,1238671791,Mortgages,الرهون,4,مبنى,519
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2019,500,Mortgages,الرهون,4,مبنى,520
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2019,28583600188,Mortgages,الرهون,4,أرض,521
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2019,1234,Mortgages,الرهون,4,أرض,522
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2019,658993617,Other,أخرى,4,وحده,523
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2019,544,Other,أخرى,4,وحده,524
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2019,226090287,Other,أخرى,4,مبنى,525
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2019,69,Other,أخرى,4,مبنى,526
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2019,3018162237,Other,أخرى,4,أرض,527
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2019,194,Other,أخرى,4,أرض,528
First Quarter,Units,First Quarter,Value,قيمة,2018,9146640476,Sales,المبايعات,1,وحده,529
First Quarter,Units,First Quarter,Number,عدد,2018,7474,Sales,المبايعات,1,وحده,530
First Quarter,Building,First Quarter,Value,قيمة,2018,1061338773,Sales,المبايعات,1,مبنى,531
First Quarter,Building,First Quarter,Number,عدد,2018,434,Sales,المبايعات,1,مبنى,532
First Quarter,Land,First Quarter,Value,قيمة,2018,8635664794,Sales,المبايعات,1,أرض,533
First Quarter,Land,First Quarter,Number,عدد,2018,1184,Sales,المبايعات,1,أرض,534
First Quarter,Units,First Quarter,Value,قيمة,2018,2680576376,Mortgages,الرهون,1,وحده,535
First Quarter,Units,First Quarter,Number,عدد,2018,2018,Mortgages,الرهون,1,وحده,536
First Quarter,Building,First Quarter,Value,قيمة,2018,1351371686,Mortgages,الرهون,1,مبنى,537
First Quarter,Building,First Quarter,Number,عدد,2018,300,Mortgages,الرهون,1,مبنى,538
First Quarter,Land,First Quarter,Value,قيمة,2018,26665497090,Mortgages,الرهون,1,أرض,539
First Quarter,Land,First Quarter,Number,عدد,2018,1399,Mortgages,الرهون,1,أرض,540
First Quarter,Units,First Quarter,Value,قيمة,2018,887725609,Other,أخرى,1,وحده,541
First Quarter,Units,First Quarter,Number,عدد,2018,682,Other,أخرى,1,وحده,542
First Quarter,Building,First Quarter,Value,قيمة,2018,712068891,Other,أخرى,1,مبنى,543
First Quarter,Building,First Quarter,Number,عدد,2018,41,Other,أخرى,1,مبنى,544
First Quarter,Land,First Quarter,Value,قيمة,2018,6808124041,Other,أخرى,1,أرض,545
First Quarter,Land,First Quarter,Number,عدد,2018,227,Other,أخرى,1,أرض,546
Second Quarter,Units,Second Quarter,Value,قيمة,2018,9224654939,Sales,المبايعات,2,وحده,547
Second Quarter,Units,Second Quarter,Number,عدد,2018,7225,Sales,المبايعات,2,وحده,548
Second Quarter,Building,Second Quarter,Value,قيمة,2018,2292934807,Sales,المبايعات,2,مبنى,549
Second Quarter,Building,Second Quarter,Number,عدد,2018,696,Sales,المبايعات,2,مبنى,550
Second Quarter,Land,Second Quarter,Value,قيمة,2018,9415095556,Sales,المبايعات,2,أرض,551
Second Quarter,Land,Second Quarter,Number,عدد,2018,1192,Sales,المبايعات,2,أرض,552
Second Quarter,Units,Second Quarter,Value,قيمة,2018,2975625783,Mortgages,الرهون,2,وحده,553
Second Quarter,Units,Second Quarter,Number,عدد,2018,2212,Mortgages,الرهون,2,وحده,554
